datum,gesamte bildschirmzeit,app1_adi,app1_sure,app2_adi,app2_sure,app3_adi,app3_sure,app4_adi,app4_sure,app5_adi,app5_sure
2025-03-30,694,Instagram,472,Youtube,130,WhatsApp,35,X,12,Moodle,4
2025-03-31,232,Instagram,136,Youtube,32,WhatsApp,17,X,10,Safari,4
2025-04-01,335,Instagram,128,Steam Link,71,Youtube,55,X,13,WhatsApp,11
2025-04-02,292,Instagram,107,WhatsApp,42,Walk Master,27,Kingdom Rush,18,X,14
2025-04-03,253,Instagram,93,Magic Sort,23,X,16,Notizen,15,Youtube,13
2025-04-04,129,Instagram,39,Youtube,38,X,14,Magic Sort,9,WhatsApp,3
2025-04-05,220,Instagram,131,X,39,Claude,20,Kahoot,27,Magic Sort,9
