datum,gesamte bildschirmzeit,app1_name,app1_zeit,app2_name,app2_zeit,app3_name,app3_zeit,app4_name,app4_zeit,app5_name,app5_zeit
2025-03-16,356,Instagram,106,Moodle,75,Netflix,29,WhatsApp,25,Youtube,17
2025-03-17,400,Instagram,180,Youtube,64,WhatsApp,41,Chrome,23,X,10
2025-03-18,296,Instagram,89,Youtube,62,X,35,Moodle,21,WhatsApp,17
2025-03-19,319,Moodle,68,Instagram,60,WhatsApp,45,Netflix,35,X,31
2025-03-20,281,Instagram,120,WhatsApp,57,Google Maps,19,Indeed Jobs,13,X,10
2025-03-21,309,Instagram,96,WhatsApp,63,Netflix,45,X,40,LinkedIn,8
2025-03-22,314,Netflix,68,WhatsApp,57,Instagram,47,Chrome,40,X,32
