datum,gesamte bildschirmzeit,app1_name,app1_zeit,app2_name,app2_zeit,app3_name,app3_zeit,app4_name,app4_zeit,app5_name,app5_zeit
2025-04-13,306,X,54,WhatsApp,37,Walk Master,11,Claude,6,Duolingo,6
2025-04-14,373,WhatsApp,50,GeoGuessr,33,Walk Master,18,Duolungo,6,X,4
2025-04-15,277,GeoGuessr,22,WhatsApp,12,Claude,6,Duolingo,3,Walk Master,3
2025-04-16,596,WhatsApp,74,Claude,11,X,10,Chrome,5,Duolingo,2
2025-04-17,194,WhatsApp,17,X,15,Notizen,14,Walk Master,12,Duolingo,11
2025-04-18,372,X,34,WhatsApp,26,Spotify,9,Safari,8,Walk Master,5
2025-04-19,264,Spotify,1,WhatsApp,4,LinkedIn,3,Google Maps,3,Duolingo,3
